KYTREASNOX,MCALDT,TMYTM
2000002,2019-04-30,2.4154034647704E+00
2000002,2019-05-31,2.3386745960367E+00
2000002,2019-06-28,2.0812688033937E+00
2000002,2019-07-31,2.0227867568148E+00
2000002,2019-08-30,1.9717831082756E+00
2000002,2019-09-30,1.8086150467018E+00
2000002,2019-10-31,1.5389903971298E+00
2000002,2019-11-29,1.5720359271057E+00
2000002,2019-12-31,1.5416000637567E+00
2000002,2020-01-31,1.5465910601984E+00
2000002,2020-02-28,1.2744308660682E+00
2000002,2020-03-31,1.0393737259349E-01
2000002,2020-04-30,1.0140170547781E-01
2000002,2020-05-29,1.4450490813203E-01
2000002,2020-06-30,1.9268516379477E-01
2000002,2020-07-31,9.1260267165117E-02
2000002,2020-08-31,1.0140128288395E-01
2000002,2020-09-30,8.6189713536961E-02
2000002,2020-10-30,8.8724982426553E-02
2000002,2020-11-30,7.8584171161666E-02
2000002,2020-12-31,7.8584086560686E-02
2000002,2021-01-29,5.3232660136434E-02
2000002,2021-02-26,3.8022615671312E-02
2000002,2021-03-31,6.5908132958578E-02
2000002,2021-04-30,1.0139015627076E-02
2000002,2021-05-28,7.6042379565637E-03
2000002,2021-06-30,3.5487663718962E-02
2000002,2021-07-30,4.8162581932187E-02
2000002,2021-08-31,5.5767765613010E-02
2000002,2021-09-30,3.8022635476323E-02
2000002,2021-10-29,5.5767723007705E-02
2000002,2021-11-30,6.5908192467120E-02
2000002,2021-12-31,4.5627566598743E-02
2000002,2022-01-31,2.0282961642971E-01
2000002,2022-02-28,3.3979825106973E-01
2000002,2022-03-31,5.0472715350512E-01
2000002,2022-04-29,8.3224222893086E-01
2000002,2022-05-31,1.0710815965829E+00
2000002,2022-06-30,1.7018693177181E+00
2000002,2022-07-29,2.3514217021827E+00
2000002,2022-08-31,2.7697490311110E+00
2000002,2022-09-30,3.2983765322433E+00
2000002,2022-10-31,4.0380146575404E+00
2000002,2022-11-30,4.2244956121852E+00
2000002,2022-12-30,4.3525790015011E+00
