PERMNO,date,TICKER,PRC,SHROUT
11850,2004-03-08,XOM,42.56000,6568000
11850,2004-03-09,XOM,42.78000,6568000
11850,2004-03-10,XOM,42.43000,6568000
11850,2004-03-11,XOM,41.35000,6568000
11850,2004-03-12,XOM,42.03000,6568000
11850,2004-03-15,XOM,41.78000,6568000
11850,2004-03-16,XOM,42.07000,6568000
11850,2004-03-17,XOM,42.24000,6568000
11850,2004-03-18,XOM,42.46000,6568000
11850,2004-03-19,XOM,41.50000,6568000
11850,2004-03-22,XOM,40.94000,6568000
11850,2004-03-23,XOM,40.76000,6568000
11850,2004-03-24,XOM,40.10000,6568000
11850,2004-03-25,XOM,40.25000,6568000
11850,2004-03-26,XOM,40.74000,6568000
11850,2004-03-29,XOM,41.09000,6568000
11850,2004-03-30,XOM,41.55000,6568000
11850,2004-03-31,XOM,41.59000,6557523
11850,2004-04-01,XOM,41.52000,6557523
11850,2004-04-02,XOM,41.91000,6557523
11850,2004-04-05,XOM,42.25000,6557523
11850,2004-04-06,XOM,42.19000,6557523
11850,2004-04-07,XOM,41.90000,6557523
11850,2004-04-08,XOM,42.45000,6557523
11850,2004-04-12,XOM,43.11000,6557523
11850,2004-04-13,XOM,42.82000,6557523
11850,2004-04-14,XOM,43.30000,6557523
11850,2004-04-15,XOM,43.68000,6557523
11850,2004-04-16,XOM,43.86000,6557523
11850,2004-04-19,XOM,43.73000,6557523
11850,2004-04-20,XOM,42.73000,6557523
11850,2004-04-21,XOM,42.95000,6557523
11850,2004-04-22,XOM,43.30000,6557523
11850,2004-04-23,XOM,42.97000,6557523
11850,2004-04-26,XOM,43.01000,6557523
11850,2004-04-27,XOM,43.75000,6557523
11850,2004-04-28,XOM,43.12000,6557523
11850,2004-04-29,XOM,42.54000,6557523
11850,2004-04-30,XOM,42.55000,6540000
11850,2004-05-03,XOM,43.68000,6540000
11850,2004-05-04,XOM,43.52000,6540000
11850,2004-05-05,XOM,43.99000,6540000
11850,2004-05-06,XOM,43.83000,6540000
11850,2004-05-07,XOM,43.25000,6540000
11850,2004-05-10,XOM,42.05000,6540000
